"","PFC Pain Med Ind","PFC Dep Med Ind","NRMSE GS Ind","NRMSE SLB Ind","PFC Pain Med No Ind","PFC Dep Med No Ind","NRMSE GS No Ind","NRMSE SLB No Ind","AUC Ind","AUC No Ind","AUC CCA","Miss Overall","Sing Ind","Sing Noind","Sing CCA"
"209",0.459183673469388,0.444444444444444,1.22398284683906,0.945581404062301,0.459183673469388,0.53968253968254,0.817159234501522,0.942552521908269,0.771123558956942,0.772675697758107,0.764154546058312,0.2144,0,0,0
"210",0.45679012345679,0.573033707865168,1.9282655909424,0.74132478056077,0.493827160493827,0.49438202247191,1.23196266336193,0.668314819305524,0.679311910019002,0.678178428461158,0.691705377694078,0.2152,1,1,0
"211",0.477777777777778,0.466666666666667,1.18516864613234,1.00154569398733,0.566666666666667,0.373333333333333,1.1599954104234,0.986100139671788,0.805083856234751,0.800634393984778,0.789025221540559,0.2296,0,0,0
"212",0.434210526315789,0.420289855072464,1.51181842864318,1.09304154158076,0.473684210526316,0.376811594202899,1.03204367247769,0.972699735205262,0.753279465117891,0.751382009864713,0.725032585919583,0.2096,0,0,0
"213",0.47887323943662,0.482758620689655,1.11090048471364,0.795858107750648,0.507042253521127,0.436781609195402,0.887224564347446,0.697654451331196,0.748395548180154,0.749053121011523,0.751087955337483,0.2248,0,0,0
"214",0.352112676056338,0.428571428571429,1.03856018962041,0.934006372324485,0.47887323943662,0.476190476190476,0.894826573308233,0.882388587542799,0.771910149758936,0.7714287908931,0.772097553305789,0.2344,0,0,0
"215",0.475609756097561,0.493506493506494,1.20402870231996,0.903980302637483,0.5,0.376623376623377,1.21534574671933,0.780548216962433,0.769341250781835,0.768154663083738,0.778655264191282,0.2296,0,0,0
"216",0.414634146341463,0.488636363636364,1.13967266574559,0.951440935212249,0.390243902439024,0.488636363636364,1.04551499873868,0.849807011295334,0.79262787273542,0.792067089174829,0.82182815578644,0.2312,0,0,0
"217",0.479166666666667,0.481481481481481,1.29949889078318,0.974527538505555,0.46875,0.432098765432099,1.1821256373536,0.755150123866879,0.800786295696389,0.798618087876489,0.789512940330697,0.2416,0,0,0
"218",0.433333333333333,0.383720930232558,0.990953994416147,0.963512657561234,0.455555555555556,0.488372093023256,0.989205499297521,0.868493795234892,0.757052495974235,0.753798389694042,0.745132930460368,0.232,0,0,0
"219",0.4,0.485714285714286,0.865965334466206,1.00235543063338,0.470588235294118,0.457142857142857,0.862525400755654,0.89260627050291,0.773238315356959,0.772514124293785,0.780129696380943,0.2216,0,0,0
"220",0.506666666666667,0.464285714285714,1.05654384499785,1.00147110732362,0.52,0.452380952380952,1.06895820956756,0.948084150642646,0.778270901785234,0.773930101592651,0.776996216983044,0.2192,0,0,0
"221",0.455696202531646,0.475609756097561,1.47250072874908,0.954098547704679,0.544303797468354,0.5,0.918197558464411,0.715355335474211,0.76828501876406,0.761743890457905,0.789783163265306,0.2216,0,0,0
"222",0.5,0.494117647058824,1.10241255252839,0.7674826537507,0.441860465116279,0.517647058823529,1.24237807039646,0.804072534870672,0.731499534974289,0.733918181096128,0.708933884962157,0.2424,0,0,0
"223",0.442622950819672,0.525641025641026,1.19214681126301,1.02843108196204,0.508196721311475,0.474358974358974,1.44356079988316,0.716461557436365,0.741556579621096,0.741961085509473,0.73534261363876,0.2208,0,0,0
"224",0.5375,0.460526315789474,1.81610601770091,1.02179354097852,0.45,0.460526315789474,0.771692375781379,0.880390935446335,0.737787753930673,0.73230941106533,0.735078874613758,0.2264,0,0,0
"225",0.555555555555556,0.35632183908046,1.0002582202461,0.800943541444901,0.469135802469136,0.448275862068966,1.11627099094913,0.814980207665585,0.769758047959267,0.770289274862446,0.755334162454905,0.236,0,0,0
"226",0.443037974683544,0.432098765432099,0.958181379930121,1.05227904129791,0.443037974683544,0.469135802469136,1.018245947533,0.914723639178407,0.749508395099077,0.741399157541745,0.7436254908641,0.2416,0,0,0
"227",0.518518518518518,0.475609756097561,1.35197279905279,1.07868958271756,0.481481481481481,0.48780487804878,1.07943984509686,0.816570833437775,0.747416159629607,0.745674820232315,0.723297819859273,0.2296,0,0,0
"228",0.611111111111111,0.525,1.49083620998461,1.14980148719122,0.541666666666667,0.4375,0.883021031046277,0.77704651949606,0.748333465648777,0.748220784109854,0.757445877625097,0.2032,0,0,0
"229",0.5,0.492957746478873,0.919367006783797,0.956446882671051,0.404761904761905,0.549295774647887,1.3962688842744,0.804205837885651,0.752056656962677,0.748098248417021,0.725901377064168,0.2072,0,0,0
"230",0.391891891891892,0.4875,1.05016607501544,1.0107048887156,0.432432432432432,0.525,0.81222192333354,0.646170514880585,0.755900120717924,0.756046835465845,0.784642085325457,0.212,0,0,0
"231",0.36144578313253,0.448275862068966,1.73289148237156,0.866850971389472,0.421686746987952,0.459770114942529,0.659740661348388,0.686971779336991,0.64370121089188,0.638937549941607,0.632771274858626,0.2264,1,1,1
"232",0.53921568627451,0.53125,1.4035470347159,0.842131280541645,0.450980392156863,0.515625,0.987300477820796,0.868100756287877,0.764866920541588,0.765683861698777,0.746694661831138,0.2224,0,0,0
"233",0.471264367816092,0.479452054794521,1.39258293207623,0.981952998040595,0.471264367816092,0.383561643835616,0.824234480155469,0.866047259805566,0.712676020244731,0.712196809532962,0.733816869994255,0.2208,0,0,0
"234",0.402439024390244,0.541176470588235,1.52334575171203,0.702213978115112,0.439024390243902,0.388235294117647,0.684430461111966,0.865732072056227,0.722679894125613,0.716593655744096,0.739430722382,0.2208,0,0,0
"235",0.546666666666667,0.341176470588235,1.2556702441237,0.881072254215322,0.44,0.505882352941176,1.13557583436247,0.764257835399591,0.800874656494811,0.798952052828022,0.81057268722467,0.232,0,0,0
"236",0.453333333333333,0.488636363636364,1.28691341298785,0.822551282166634,0.44,0.409090909090909,1.03107331377418,0.77002429289923,0.73226561038788,0.725983279571408,0.692083988418945,0.228,0,0,0
"237",0.479452054794521,0.435897435897436,1.16179000176943,1.311205405981,0.520547945205479,0.384615384615385,0.771396102202103,0.825088190991203,0.742063248073455,0.737623483357927,0.717668220096476,0.2056,0,0,0
"238",0.448717948717949,0.426966292134831,2.23544376885605,0.955012391642811,0.538461538461538,0.50561797752809,0.943507937436607,0.851494359949326,0.774762894833873,0.771564791675202,0.784920799972271,0.2312,0,0,0
